time,open,high,low,close
1989-10-02,98.65,99.98,98.31,99.48
1989-10-09,99.66,101.31,99.53,99.77
1989-10-16,98.05,99.19,97.73,98.58
1989-10-23,98.54,98.64,97.49,97.63
1989-10-30,97.94,98.59,97.66,98.33
1989-11-06,98.56,99.06,97.98,98.98
1989-11-13,98.9,99.04,97.78,98.42
1989-11-20,98.58,98.6,97.1,97.14
1989-11-27,96.72,97.08,96.13,96.57
1989-12-04,96.42,96.65,95.75,96.05
1989-12-11,95.96,96.02,94.1,94.21
1989-12-18,94.51,95.18,93.45,93.49
1989-12-25,93.27,93.39,92.6,93.21
1990-01-01,93.08,94.52,92.39,92.85
1990-01-08,92.52,92.79,91.93,92.43
1990-01-15,92.4,93.96,92.35,93.74
1990-01-22,94.05,94.54,92.36,92.52
1990-01-29,91.96,93.31,91.89,92.44
1990-02-05,92.09,92.31,91.26,91.98
1990-02-12,92.12,93.11,91.88,92.18
1990-02-19,92.05,92.25,91.56,92.16
1990-02-26,92.65,94.33,92.58,94.01
1990-03-05,93.36,93.96,93.23,93.87
1990-03-12,94.17,94.72,93.48,93.8
1990-03-19,93.46,94.65,93.28,94.37
1990-03-26,94.47,94.64,93.39,93.69
1990-04-02,94.2,94.32,93.59,93.72
1990-04-09,93.5,93.73,92.87,92.87
1990-04-16,93.17,93.59,92.71,93.29
1990-04-23,93.68,93.87,92.92,93.02
1990-04-30,93.19,93.31,92.35,92.37
1990-05-07,92.17,92.21,90.66,91.12
1990-05-14,91.15,91.45,90.75,91.31
1990-05-21,91.72,92.46,91.65,92.26
1990-05-28,91.92,93.11,91.81,92.96
1990-06-04,93.25,93.36,92.5,93.08
1990-06-11,92.91,93.17,92.34,92.58
1990-06-18,92.61,92.61,91.74,91.99
1990-06-25,92.13,92.26,91.13,91.15
1990-07-02,90.77,90.85,90.24,90.52
1990-07-09,90.05,90.63,89.34,89.96
1990-07-16,90.28,90.28,89.34,89.67
1990-07-23,89.54,89.57,88.4,88.43
1990-07-30,88.29,89.08,87.14,87.77
1990-08-06,86.95,88.08,86.72,87.53
1990-08-13,87.05,87.06,85.54,85.57
1990-08-20,85.8,86.41,85.01,85.73
1990-08-27,84.92,86.64,84.9,86.61
1990-09-03,86.61,87.02,85.42,86.03
1990-09-10,86.35,87.39,85.32,85.72
1990-09-17,85.26,86.45,84.74,86.28
1990-09-24,85.54,86.2,85.28,86
1990-10-01,85.16,85.52,83.9,84.28
1990-10-08,83.6,83.75,82.75,83.14
1990-10-15,83.2,83.48,81.92,82.33
1990-10-22,82.5,83.21,82.4,82.96
1990-10-29,82.77,83.69,82.21,82.26
1990-11-05,82.15,82.52,81.48,82.13
1990-11-12,81.71,81.94,81.44,81.62
1990-11-19,81.35,81.95,81.27,81.86
1990-11-26,82.17,83.34,81.59,83
1990-12-03,83.52,83.89,81.86,81.92
1990-12-10,81.81,82.82,81.73,82.72
1990-12-17,82.79,84.88,82.32,84.71
1990-12-24,85.09,85.39,83.19,83.25
1990-12-31,83.37,83.52,82.6,83.36
1991-01-07,84.87,85.11,83.6,84.28
1991-01-14,85.17,85.22,82.76,82.77
1991-01-21,82.97,83.01,82.08,82.73
1991-01-28,82.46,82.93,81.55,81.65
1991-02-04,81.2,81.77,80.47,80.88
1991-02-11,80.79,82.04,80.34,81.91
1991-02-18,82.47,83.19,82.24,83.15
1991-02-25,83.52,84.84,83.43,84.8
1991-03-04,84.85,86.34,84.23,86.29
1991-03-11,86.49,88.03,86.1,87.86
1991-03-18,88.32,90.62,88.27,89.28
1991-03-25,90.56,92.46,90.24,92.04
1991-04-01,91.32,91.5,89.29,90.55
1991-04-08,90.7,90.98,89.6,90.49
1991-04-15,90.02,92.78,89.34,92.68
1991-04-22,93.82,94.12,92.6,93.36
1991-04-29,94.21,94.46,91.07,93.48
1991-05-06,93.18,93.4,92.02,92.4
1991-05-13,92.42,93.01,90.74,92.88
1991-05-20,92.98,93.18,91.66,91.74
1991-05-27,91.89,93.2,91.05,93.13
1991-06-03,93.73,94.71,93.02,94.56
1991-06-10,94.7,96.35,94.5,95.74
1991-06-17,96.02,96.75,95.21,95.81
1991-06-24,95.72,96.29,94.97,96.06
1991-07-01,96.07,97.32,95.94,96.71
1991-07-08,96.22,97.27,94.92,95.06
1991-07-15,95.42,95.66,93.45,93.46
1991-07-22,93.89,94.41,92.89,93.47
1991-07-29,93.67,94.48,93.02,93.36
1991-08-05,93.15,93.24,91.85,92.86
1991-08-12,92.79,94.41,92.59,94.39
1991-08-19,96.46,96.56,92.65,93.59
1991-08-26,93.72,93.92,92.75,93.49
1991-09-02,93.18,93.31,92.1,92.11
1991-09-09,91.62,91.74,90.45,90.78
1991-09-16,90.82,91.34,89.99,90.78
1991-09-23,90.21,90.91,89.76,90.12
1991-09-30,89.77,90.39,89.39,90.13
1991-10-07,90.06,91.29,90,90.57
1991-10-14,90.63,91.59,90.35,90.35
1991-10-21,90.43,91.68,90.38,91.13
1991-10-28,91.55,92.03,88.68,88.7
1991-11-04,88.42,89.06,87.96,88.89
1991-11-11,88.99,89.02,87.85,88.14
1991-11-18,87.04,87.56,86.37,86.56
1991-11-25,86.32,88.53,86.26,88.19
1991-12-02,87.54,87.87,85.75,85.79
1991-12-09,86.06,86.84,85.78,86.57
1991-12-16,86.22,86.28,84.25,84.42
1991-12-23,83.76,84.02,83.21,83.62
