Datetime,Open,High,Low,Close,Volume
2026-04-18 06:00:00+08:00,97.755,97.806,97.694,97.741,0.0
2026-04-18 06:30:00+08:00,97.746,97.825,97.697,97.825,0.0
2026-04-18 07:00:00+08:00,97.826,97.939,97.808,97.91,0.0
2026-04-18 07:30:00+08:00,97.917,97.951,97.859,97.936,0.0
2026-04-18 08:00:00+08:00,97.938,97.999,97.898,97.941,0.0
2026-04-18 08:30:00+08:00,97.946,97.951,97.909,97.938,0.0
2026-04-18 09:00:00+08:00,97.938,98.045,97.937,98.019,0.0
2026-04-18 09:30:00+08:00,98.022,98.028,97.963,97.97,0.0
2026-04-18 10:00:00+08:00,97.974,98.021,97.958,98.002,0.0
2026-04-18 10:30:00+08:00,98.004,98.136,97.985,98.096,0.0
2026-04-18 11:00:00+08:00,98.099,98.134,98.064,98.13,0.0
2026-04-18 11:30:00+08:00,98.128,98.207,98.121,98.194,0.0
2026-04-18 12:00:00+08:00,98.196,98.225,98.166,98.222,0.0
2026-04-18 12:30:00+08:00,98.225,98.24,98.184,98.226,0.0
2026-04-20 14:00:00+08:00,98.277,98.293,98.273,98.287,0.0
2026-04-20 14:30:00+08:00,98.287,98.291,98.278,98.282,0.0
2026-04-20 15:00:00+08:00,98.283,98.292,98.273,98.291,0.0
2026-04-20 15:30:00+08:00,98.291,98.306,98.287,98.3,0.0
2026-04-20 16:00:00+08:00,98.3,98.306,98.28,98.28,0.0
2026-04-20 16:30:00+08:00,98.282,98.285,98.267,98.275,0.0
2026-04-20 17:00:00+08:00,98.275,98.368,98.275,98.364,0.0
2026-04-20 17:30:00+08:00,98.366,98.366,98.291,98.312,0.0
2026-04-20 18:00:00+08:00,98.316,98.324,98.284,98.285,0.0
2026-04-20 18:30:00+08:00,98.289,98.326,98.271,98.308,0.0
2026-04-20 19:00:00+08:00,98.305,98.327,98.285,98.287,0.0
2026-04-20 19:30:00+08:00,98.287,98.29,98.261,98.283,0.0
2026-04-20 20:00:00+08:00,98.286,98.309,98.268,98.299,0.0
