signal_date,signal_year,entry_date,entry_price,tx_ret,z2_ret,mdd,profit_twd,signal,hold
2019-07-08,2019,2019-07-09,10650.0,0.13492957746478873,0.2777897154996867,-0.10468402879129224,277789.71549968666,MA5 週線,6M
2019-07-17,2019,2019-07-18,10651.0,0.14364848371044972,0.29769513143243187,-0.09494298810605287,297695.13143243187,MA5 週線,6M
2019-07-26,2019,2019-07-29,10782.0,0.12326099053978853,0.2537190057247052,-0.08922010575448236,253719.00572470517,MA5 週線,6M
2019-08-13,2019,2019-08-14,10429.0,0.10892703039601112,0.23793129103666777,-0.13976775691369275,237931.29103666777,MA5 週線,6M
2019-08-15,2019,2019-08-16,10412.0,0.1304264310411064,0.2930280294779142,-0.13976775691369261,293028.02947791415,MA5 週線,6M
2019-08-22,2019,2019-08-23,10497.0,0.12060588739639898,0.24838225917252754,-0.1397677569136925,248382.25917252756,MA5 週線,6M
2019-08-26,2019,2019-08-27,10363.0,0.12544629933416965,0.2682118886603715,-0.13976775691369264,268211.8886603715,MA5 週線,6M
2019-09-25,2019,2019-09-26,10843.0,-0.15217190814350273,-0.30553902935186106,-0.539097343001451,-305539.02935186104,MA5 週線,6M
2019-10-03,2019,2019-10-04,10877.0,-0.12154086604762343,-0.25204055452968355,-0.539097343001451,-252040.55452968355,MA5 週線,6M
2019-10-09,2019,2019-10-14,11073.0,-0.08489117673620518,-0.16491398315697614,-0.5390973430014508,-164913.98315697614,MA5 週線,6M
2019-11-08,2019,2019-11-11,11437.0,-0.04747748535455102,-0.14963524291812047,-0.5390973430014512,-149635.24291812046,MA5 週線,6M
2019-11-21,2019,2019-11-22,11554.0,-0.06084472909814783,-0.15259677826641493,-0.5390973430014511,-152596.77826641494,MA5 週線,6M
2019-11-29,2019,2019-12-02,11502.0,-0.050686837071813595,-0.13026553154967102,-0.5390973430014512,-130265.53154967102,MA5 週線,6M
2019-12-20,2019,2019-12-23,12020.0,-0.050831946755407656,-0.13176405652289847,-0.5390973430014511,-131764.05652289846,MA5 週線,6M
2019-12-31,2019,2020-01-02,12101.0,-0.05214445087182878,-0.12482232120367776,-0.539097343001451,-124822.32120367775,MA5 週線,6M
2020-01-06,2020,2020-01-07,11871.0,-0.0031168393564147924,-0.06148808601722877,-0.539097343001451,-61488.08601722877,MA5 週線,6M
2020-01-15,2020,2020-01-16,12052.0,0.011284434118818453,-0.022122962500559007,-0.5336960148060913,-22122.962500559006,MA5 週線,6M
2020-01-30,2020,2020-01-31,11469.0,0.08300636498386957,0.14512028613783756,-0.5069340801766326,145120.28613783757,MA5 週線,6M
